Curr Rank,Prev Rank,Disease,Home Infusion,Outpatient Hospital,Physician Office,Pharmacy,Total
31,26,Other: Genitourinary System,$ 0.00,"$ 558,413.22","$ 811,359.11","$ 1,213,895.07","$ 2,583,667.39"
32,31,Other: Mental Disorders,"$ 39,319.28","$ 247,797.98","$ 602,345.64","$ 1,522,711.26","$ 2,412,174.16"
33,33,Other: Musculoskeletal System,"$ 9,450.00","$ 805,965.55","$ 458,629.83","$ 847,568.67","$ 2,121,614.05"
34,29,Osteoarthritis,"$ 3,570.34","$ 112,011.38","$ 1,674,184.28","$ 246,930.42","$ 2,036,696.42"
35,36,Macular Edema,$ 0.00,"$ 152,119.70","$ 1,851,923.18","$ 7,303.80","$ 2,011,346.68"
36,42,Other: Blood and Blood-Forming Organs,"$ 1,145,872.48","$ 65,454.21","$ 113,005.84","$ 355,916.21","$ 1,680,248.74"
37,34,Alpha1 Antitrypsin Deficiency,"$ 807,679.36",$ 0.00,$ 0.00,"$ 838,566.18","$ 1,646,245.54"
38,32,Chronic Inflammatory Polyneuritis,"$ 871,007.48",$ 0.00,"$ 600,873.60",$ 0.00,"$ 1,471,881.08"
39,39,Other: Congenital Anomalies,$ 0.00,"$ 34,575.98","$ 127,637.50","$ 1,264,397.14","$ 1,426,610.62"
40,37,Short Stature,$ 0.00,$ 0.00,$ 0.00,"$ 1,392,863.59","$ 1,392,863.59"
41,40,Stiff Person Syndrome,"$ 873,312.00",$ 0.00,"$ 170,430.59",$ 0.00,"$ 1,043,742.59"
42,41,Multifocal Motor Neuropathy,"$ 282,306.54",$ 0.00,"$ 310,402.08","$ 381,559.26","$ 974,267.88"
43,47,Other: Injury and Poisoning,"$ 7,360.80","$ 793,897.58","$ 126,496.84","$ 25,500.50","$ 953,255.72"
44,52,Muscular Dystrophy,$ 0.00,$ 0.00,$ 0.00,"$ 703,207.84","$ 703,207.84"
45,46,Phenylketonuria,$ 0.00,$ 0.00,$ 0.00,"$ 621,666.78","$ 621,666.78"
46,48,Lipodystrophy,$ 0.00,$ 0.00,$ 0.00,"$ 500,567.38","$ 500,567.38"
47,45,Prader-Willi Syndrome,$ 0.00,$ 0.00,$ 0.00,"$ 457,274.62","$ 457,274.62"
48,43,Turner Syndrome,$ 0.00,$ 0.00,$ 0.00,"$ 400,682.44","$ 400,682.44"
49,49,Other: Circulatory System,$ 0.00,"$ 202,356.07","$ 99,004.75","$ 97,750.29","$ 399,111.11"
50,44,Other: Pregnancy / Childbirth,$ 0.00,"$ 30,159.87","$ 209,294.33","$ 145,653.22","$ 385,107.43"
51,50,Premature Birth,$ 0.00,"$ 24,049.80","$ 321,501.74",$ 0.00,"$ 345,551.54"
52,53,Kidney Transplant Status,$ 0.00,"$ 260,324.68","$ 21,727.60",$ 0.00,"$ 282,052.28"
53,55,Atrial Fibrillation,$ 0.00,"$ 210,411.83",$ 0.00,$ 0.00,"$ 210,411.83"
54,54,Macular Degeneration,$ 0.00,"$ 1,621.96","$ 119,696.17",$ 0.00,"$ 121,318.13"
55,62,Homozygous Familial Hypercholesterolemia,$ 0.00,"$ 17,245.15","$ 40,911.53",$ 0.00,"$ 58,156.68"
56,0,Guillain-Barre Syndrome,"$ 20,646.00",$ 0.00,"$ 19,701.00",$ 0.00,"$ 40,347.00"
57,59,Fertility,"$ 2,280.61","$ 9,153.01",$ 0.00,"$ 18,692.65","$ 30,126.27"
58,61,Obesity,$ 0.00,"$ 23,474.49","$ 4,379.08",$ 0.00,"$ 27,853.57"
59,56,Chronic Obstructive Pulmonary Disease,$ 0.00,"$ 18,937.18",$ 20.95,$ 0.00,"$ 18,958.13"
60,66,Stroke,$ 0.00,"$ 10,259.20","$ 3,804.00","$ 3,438.26","$ 17,501.46"
61,60,Pemphigus,$ 0.00,$ 0.00,"$ 12,530.00",$ 0.00,"$ 12,530.00"
62,64,Hypercoagulation,$ 0.00,$ 0.00,"$ 7,373.90",$ 0.00,"$ 7,373.90"
63,58,Idiopathic Thrombocytopenic Purpura,$ 0.00,$ 0.00,"$ 5,885.95",$ 0.00,"$ 5,885.95"
64,69,Spontaneous Abortion,$ 0.00,"$ 2,886.23","$ 2,118.80",$ 0.00,"$ 5,005.03"
65,0,Myocardial Infarction,$ 0.00,$ 0.00,"$ 4,167.60",$ 0.00,"$ 4,167.60"
66,65,Deep Vein Thrombosis,$ 0.00,$ 0.00,"$ 3,771.00",$ 0.00,"$ 3,771.00"
67,0,Kawasaki Disease,$ 0.00,"$ 1,983.49",$ 0.00,$ 0.00,"$ 1,983.49"
68,0,Condyloma Acuminatum,$ 0.00,$ 0.00,"$ 1,178.58",$ 0.00,"$ 1,178.58"
69,71,Joint Replacement,$ 0.00,$ 0.00,$ 894.00,$ 0.00,$ 894.00
70,57,Pulmonary Embolism,$ 0.00,$ 554.54,$ 0.00,$ 0.00,$ 554.54
71,72,Autism,$ 0.00,$ 0.00,$ 349.70,$ 0.00,$ 349.70
